cell,model,dataset,class,ece,auroc,prevalence,log_npos,feature_spread,objective,dataset_cat,multilabel
M6_D4,S4D,CPSC2018,STD,0.01795208011362534,0.7660285902070323,0.1319107711315155,2.1335389083702174,42.600223541259766,supervised,D4,0
M6_D4,S4D,CPSC2018,STE,0.012491525002161784,0.7468573510657679,0.03200776129961014,1.5185139398778875,42.600223541259766,supervised,D4,0
M1_D5,MERL,MIMIC-IV-ECG,SR,0.0963608456595892,0.7749767657992565,0.8936877250671387,2.429752280002408,41.22050476074219,contrastive,D5,0
M1_D5,MERL,MIMIC-IV-ECG,AF,0.07944342028841792,0.9217432950191571,0.13289035856723785,1.6020599913279623,41.22050476074219,contrastive,D5,0
M1_D5,MERL,MIMIC-IV-ECG,RBBB,0.04136568951501169,0.977367870225013,0.09302325546741486,1.4471580313422192,41.22050476074219,contrastive,D5,0
M1_D5,MERL,MIMIC-IV-ECG,LVH,0.06252226157406386,0.8367546432062563,0.07308970391750336,1.3424226808222062,41.22050476074219,contrastive,D5,0
M1_D5,MERL,MIMIC-IV-ECG,MI,0.0895059406889002,0.7916722904575515,0.2059800624847412,1.792391689498254,41.22050476074219,contrastive,D5,0
M2_D5,ST-MEM,MIMIC-IV-ECG,SR,0.09590852209651737,0.8482806691449815,0.8936877250671387,2.429752280002408,0.22429081797599792,masked,D5,0
M2_D5,ST-MEM,MIMIC-IV-ECG,AF,0.05109421988225982,0.9612068965517242,0.13289035856723785,1.6020599913279623,0.22429081797599792,masked,D5,0
M2_D5,ST-MEM,MIMIC-IV-ECG,RBBB,0.030517268349462993,0.9453165881737311,0.09302325546741486,1.4471580313422192,0.22429081797599792,masked,D5,0
M2_D5,ST-MEM,MIMIC-IV-ECG,LVH,0.08441265715207595,0.7409579667644184,0.07308970391750336,1.3424226808222062,0.22429081797599792,masked,D5,0
M2_D5,ST-MEM,MIMIC-IV-ECG,MI,0.13850796718884822,0.7727088675934675,0.2059800624847412,1.792391689498254,0.22429081797599792,masked,D5,0
M3_D5,HuBERT-ECG,MIMIC-IV-ECG,SR,0.1481806987986214,0.6560176579925651,0.8936877250671387,2.429752280002408,1.0268627405166626,masked,D5,0
M3_D5,HuBERT-ECG,MIMIC-IV-ECG,AF,0.08015701982685866,0.8600574712643678,0.13289035856723785,1.6020599913279623,1.0268627405166626,masked,D5,0
M3_D5,HuBERT-ECG,MIMIC-IV-ECG,RBBB,0.056087068562852005,0.9213762428048142,0.09302325546741486,1.4471580313422192,1.0268627405166626,masked,D5,0
M3_D5,HuBERT-ECG,MIMIC-IV-ECG,LVH,0.08507668901986577,0.810850439882698,0.07308970391750336,1.3424226808222062,1.0268627405166626,masked,D5,0
M3_D5,HuBERT-ECG,MIMIC-IV-ECG,MI,0.16159712546942845,0.7258739371035228,0.2059800624847412,1.792391689498254,1.0268627405166626,masked,D5,0
M4_D5,ECGFM-KED,MIMIC-IV-ECG,SR,0.06539028597890602,0.5727230483271375,0.8936877250671387,2.429752280002408,0.07486265152692795,knowledge,D5,0
M4_D5,ECGFM-KED,MIMIC-IV-ECG,AF,0.06935620949095339,0.6574712643678161,0.13289035856723785,1.6020599913279623,0.07486265152692795,knowledge,D5,0
M4_D5,ECGFM-KED,MIMIC-IV-ECG,RBBB,0.046329133285669954,0.9008372579801152,0.09302325546741486,1.4471580313422192,0.07486265152692795,knowledge,D5,0
M4_D5,ECGFM-KED,MIMIC-IV-ECG,LVH,0.047000691654369514,0.7497556207233625,0.07308970391750336,1.3424226808222062,0.07486265152692795,knowledge,D5,0
M4_D5,ECGFM-KED,MIMIC-IV-ECG,MI,0.08865203220066135,0.7793899311647996,0.2059800624847412,1.792391689498254,0.07486265152692795,knowledge,D5,0
M5_D5,ECG-FM,MIMIC-IV-ECG,SR,0.0892312478295886,0.6412639405204461,0.8936877250671387,2.429752280002408,0.7304993271827698,hybrid,D5,0
M5_D5,ECG-FM,MIMIC-IV-ECG,AF,0.08401880441145665,0.7456896551724138,0.13289035856723785,1.6020599913279623,0.7304993271827698,hybrid,D5,0
M5_D5,ECG-FM,MIMIC-IV-ECG,RBBB,0.030885911261142235,0.9655939298796441,0.09302325546741486,1.4471580313422192,0.7304993271827698,hybrid,D5,0
M5_D5,ECG-FM,MIMIC-IV-ECG,LVH,0.05842347415020099,0.7640925382860867,0.07308970391750336,1.3424226808222062,0.7304993271827698,hybrid,D5,0
M5_D5,ECG-FM,MIMIC-IV-ECG,MI,0.11544920559819226,0.7397759481711432,0.2059800624847412,1.792391689498254,0.7304993271827698,hybrid,D5,0
M6_D5,S4D,MIMIC-IV-ECG,SR,0.044836722617896126,0.6409154275092936,0.8936877250671387,2.429752280002408,16.077573776245117,supervised,D5,0
M6_D5,S4D,MIMIC-IV-ECG,AF,0.04151317950850192,0.7172413793103448,0.13289035856723785,1.6020599913279623,16.077573776245117,supervised,D5,0
M6_D5,S4D,MIMIC-IV-ECG,RBBB,0.05307020789547333,0.9663788592360021,0.09302325546741486,1.4471580313422192,16.077573776245117,supervised,D5,0
M6_D5,S4D,MIMIC-IV-ECG,LVH,0.032050879740168806,0.8623330074942979,0.07308970391750336,1.3424226808222062,16.077573776245117,supervised,D5,0
M6_D5,S4D,MIMIC-IV-ECG,MI,0.045582716879471304,0.7799973005803752,0.2059800624847412,1.792391689498254,16.077573776245117,supervised,D5,0
