dataset_id,dataset_name,model_id,model_name,cal_size,rep,method,auroc,ece_ew,brier
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,200,4,raw,0.835555,0.077066,0.101008
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,200,4,monotone_platt,0.879274,0.050504,0.088853
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,200,4,isotonic,0.826825,0.041539,0.096996
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,200,4,mlp_head,0.858048,0.094156,0.104837
D3,CODE-15%,M6_s4d_configured,Configured S4D,25,0,raw,0.582249,0.08687,0.08543
D3,CODE-15%,M6_s4d_configured,Configured S4D,25,0,monotone_temperature,0.580473,0.084167,0.082656
D3,CODE-15%,M6_s4d_configured,Configured S4D,25,0,isotonic,0.544732,0.128228,0.118591
D3,CODE-15%,M6_s4d_configured,Configured S4D,25,0,mlp_head,0.51519,0.246271,0.160503
D3,CODE-15%,M6_s4d_configured,Configured S4D,25,1,raw,0.582249,0.08687,0.08543
D3,CODE-15%,M6_s4d_configured,Configured S4D,25,1,monotone_temperature,0.580473,0.084167,0.082656
D3,CODE-15%,M6_s4d_configured,Configured S4D,25,1,isotonic,0.59028,0.073439,0.080734
D3,CODE-15%,M6_s4d_configured,Configured S4D,25,1,mlp_head,0.539707,0.296374,0.170431
D3,CODE-15%,M6_s4d_configured,Configured S4D,25,2,raw,0.582249,0.08687,0.08543
D3,CODE-15%,M6_s4d_configured,Configured S4D,25,2,monotone_temperature,0.580473,0.084167,0.082656
D3,CODE-15%,M6_s4d_configured,Configured S4D,25,2,isotonic,0.585244,0.092858,0.092618
D3,CODE-15%,M6_s4d_configured,Configured S4D,25,2,mlp_head,0.5566,0.245305,0.147113
D3,CODE-15%,M6_s4d_configured,Configured S4D,25,3,raw,0.582249,0.08687,0.08543
D3,CODE-15%,M6_s4d_configured,Configured S4D,25,3,monotone_temperature,0.580473,0.084167,0.082656
D3,CODE-15%,M6_s4d_configured,Configured S4D,25,3,isotonic,0.563512,0.077799,0.092498
D3,CODE-15%,M6_s4d_configured,Configured S4D,25,3,mlp_head,0.481365,0.177337,0.118536
D3,CODE-15%,M6_s4d_configured,Configured S4D,25,4,raw,0.582249,0.08687,0.08543
D3,CODE-15%,M6_s4d_configured,Configured S4D,25,4,monotone_temperature,0.577839,0.085395,0.082518
D3,CODE-15%,M6_s4d_configured,Configured S4D,25,4,isotonic,0.587089,0.094919,0.097218
D3,CODE-15%,M6_s4d_configured,Configured S4D,25,4,mlp_head,0.475526,0.267059,0.155142
D3,CODE-15%,M6_s4d_configured,Configured S4D,50,0,raw,0.582249,0.08687,0.08543
D3,CODE-15%,M6_s4d_configured,Configured S4D,50,0,monotone_temperature,0.580473,0.084167,0.082656
